title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Побег из Шоушенка,1994,142,['Drama'],9.3,2751184,16+,82,28341469
Тёмный рыцарь,2008,152,"['Action', 'Crime', 'Drama']",9.0,2723913,14+,84,534858444
Начало,2010,148,"['Action', 'Adventure', 'Sci-Fi']",8.8,2417730,12+,74,292576195
Бойцовский клуб,1999,139,['Drama'],8.8,2190763,18+,66,37030102
Форрест Гамп,1994,142,"['Drama', 'Romance']",8.8,2140265,0+,82,330252182
Криминальное чтиво,1994,154,"['Crime', 'Drama']",8.9,2113490,18+,95,107928762
Матрица,1999,136,"['Action', 'Sci-Fi']",8.7,1961329,16+,73,171479930
Властелин колец: Братство кольца,2001,178,"['Action', 'Adventure', 'Drama']",8.8,1918844,12+,92,315544750
Интерстеллар,2014,169,"['Adventure', 'Drama', 'Sci-Fi']",8.7,1916682,12+,74,188020017
Крёстный отец,1972,175,"['Crime', 'Drama']",9.2,1913731,16+,100,134966411
Властелин колец: Возвращение короля,2003,201,"['Action', 'Adventure', 'Drama']",9.0,1890236,12+,94,377845905
Тёмный рыцарь: Возрождение легенды,2012,164,"['Action', 'Drama', 'Thriller']",8.4,1744590,12+,78,448139099
Властелин колец: Две крепости,2002,179,"['Action', 'Adventure', 'Drama']",8.8,1706027,12+,87,342551365
Семь,1995,127,"['Crime', 'Drama', 'Mystery']",8.6,1701148,18+,65,100125643
Джанго освобожденный,2012,165,"['Drama', 'Western']",8.4,1602670,18+,81,162805434
Гладиатор,2000,155,"['Action', 'Adventure', 'Drama']",8.5,1538692,18+,67,187705427
Бэтмен: Начало,2005,140,"['Action', 'Crime', 'Drama']",8.2,1505767,12+,70,206852432
Бесславные ублюдки,2009,153,"['Adventure', 'Drama', 'War']",8.3,1494855,18+,69,120540719
Молчание ягнят,1991,118,"['Crime', 'Drama', 'Thriller']",8.6,1470095,18+,86,130742922
Волк с Уолл-стрит,2013,180,"['Biography', 'Comedy', 'Crime']",8.2,1466836,18+,75,116900694
Спасти рядового Райана,1998,169,"['Drama', 'War']",8.6,1425947,16+,91,216540909
Мстители,2012,143,"['Action', 'Sci-Fi']",8.0,1417921,12+,69,623279547
Звёздные войны. Эпизод 4: Новая надежда,1977,121,"['Action', 'Adventure', 'Fantasy']",8.6,1395795,0+,90,322740140
Список Шиндлера,1993,195,"['Biography', 'Drama', 'History']",9.0,1387378,16+,95,96898818
Престиж,2006,130,"['Drama', 'Mystery', 'Sci-Fi']",8.5,1366945,12+,66,53089891
Остров проклятых,2010,138,"['Mystery', 'Thriller']",8.2,1364115,16+,63,128012934
Джокер,2019,122,"['Crime', 'Drama', 'Thriller']",8.4,1358733,18+,59,335451311
Отступники,2006,151,"['Crime', 'Drama', 'Thriller']",8.5,1358666,16+,85,132384315
Аватар,2009,162,"['Action', 'Adventure', 'Fantasy']",7.9,1344465,12+,83,760507625
Зелёная миля,1999,189,"['Crime', 'Drama', 'Fantasy']",8.6,1337772,14+,61,136801374
Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,124,"['Action', 'Adventure', 'Fantasy']",8.7,1323454,0+,82,290475067
Крёстный отец 2,1974,202,"['Crime', 'Drama']",9.0,1303299,16+,90,57300000
Помни,2000,113,"['Mystery', 'Thriller']",8.4,1265513,16+,81,25544867
Назад в будущее,1985,116,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,1241421,12+,87,210609762
Стражи Галактики,2014,121,"['Action', 'Adventure', 'Comedy']",8.0,1222465,12+,76,333176600
Титаник,1997,194,"['Drama', 'Romance']",7.9,1220962,12+,75,659325379
Славные парни,1990,145,"['Biography', 'Crime', 'Drama']",8.7,1194138,16+,92,46836394
Леон,1994,110,"['Action', 'Crime', 'Drama']",8.5,1191435,16+,64,19501238
Мстители: Финал,2019,181,"['Action', 'Adventure', 'Drama']",8.4,1183942,16+,78,858373000
Красота по-американски,1999,122,['Drama'],8.3,1174763,16+,84,130096601
Пираты Карибского моря: Проклятие Чёрной жемчужины,2003,143,"['Action', 'Adventure', 'Fantasy']",8.1,1155553,12+,63,305413918
ВАЛЛ·И,2008,98,"['Animation', 'Adventure', 'Family']",8.4,1145321,0+,95,223808164
Американская история Икс,1998,119,"['Crime', 'Drama']",8.5,1144832,16+,62,6719864
Убить Билла,2003,111,"['Action', 'Crime', 'Drama']",8.2,1142478,16+,69,70099045
«V» значит Вендетта,2005,132,"['Action', 'Drama', 'Sci-Fi']",8.2,1142091,16+,62,70511035
Мстители: Война бесконечности,2018,149,"['Action', 'Adventure', 'Sci-Fi']",8.4,1127056,16+,68,678815482
Терминатор 2: Судный день,1991,137,"['Action', 'Sci-Fi']",8.6,1125044,16+,75,204843350
Шоу Трумана,1998,103,"['Comedy', 'Drama']",8.2,1119501,0+,90,125618201
Подозрительные лица,1995,106,"['Crime', 'Drama', 'Mystery']",8.5,1105828,16+,77,23341568
Король лев,1994,88,"['Animation', 'Adventure', 'Drama']",8.5,1087556,0+,88,422783777
Железный человек,2008,126,"['Action', 'Adventure', 'Sci-Fi']",7.9,1084190,12+,79,318412101
Звёздные войны. Эпизод 6: Возвращение джедая,1983,131,"['Action', 'Adventure', 'Fantasy']",8.3,1079348,0+,58,309125409
Вверх,2009,96,"['Animation', 'Adventure', 'Comedy']",8.3,1071678,0+,88,293004164
Дэдпул,2016,108,"['Action', 'Comedy']",8.0,1069936,18+,65,363070709
В поисках Немо,2003,100,"['Animation', 'Adventure', 'Comedy']",8.2,1068373,0+,90,380843261
Храброе сердце,1995,178,"['Biography', 'Drama', 'History']",8.3,1056985,16+,68,75600000
Сияние,1980,146,"['Drama', 'Horror']",8.4,1051138,18+,66,44017374
Бешеные псы,1992,99,"['Crime', 'Thriller']",8.3,1044483,18+,81,2832029
Вечное сияние чистого разума,2004,108,"['Drama', 'Romance', 'Sci-Fi']",8.3,1032786,16+,89,34400301
Безумный Макс: Дорога ярости,2015,120,"['Action', 'Adventure', 'Sci-Fi']",8.1,1031989,16+,90,154058340
Пролетая над гнездом кукушки,1975,133,['Drama'],8.7,1030201,16+,84,112000000
"Поймай меня, если сможешь",2002,141,"['Biography', 'Crime', 'Drama']",8.1,1023825,12+,75,164615351
История игрушек,1995,81,"['Animation', 'Adventure', 'Comedy']",8.3,1020331,6+,96,191796233
Парк юрского периода,1993,127,"['Action', 'Adventure', 'Sci-Fi']",8.2,1015848,6+,68,402453882
Шестое чувство,1999,107,"['Drama', 'Mystery', 'Thriller']",8.2,1012316,12+,64,293506292
Исчезнувшая,2014,149,"['Drama', 'Mystery', 'Thriller']",8.1,1010285,18+,79,167767189
Умница Уилл Хантинг,1997,126,"['Drama', 'Romance']",8.3,1005802,16+,70,138433435
Старикам тут не место,2007,122,"['Crime', 'Drama', 'Thriller']",8.2,1003381,16+,92,74283625
Индиана Джонс: В поисках утраченного ковчега,1981,115,"['Action', 'Adventure']",8.4,989246,0+,85,248159971
Игры разума,2001,135,"['Biography', 'Drama']",8.2,951592,12+,72,170742341
Голодные игры,2012,142,"['Action', 'Adventure', 'Sci-Fi']",7.2,949738,14+,68,408010692
Звёздные войны: Пробуждение Силы,2015,138,"['Action', 'Adventure', 'Sci-Fi']",7.8,948355,12+,80,936662225
Корпорация монстров,2001,92,"['Animation', 'Adventure', 'Comedy']",8.1,933922,6+,79,289916256
Одержимость,2014,106,"['Drama', 'Music']",8.5,907431,16+,89,13092000
Чужой,1979,117,"['Horror', 'Sci-Fi']",8.5,904924,18+,89,78900000
Крепкий орешек,1988,132,"['Action', 'Thriller']",8.2,902442,16+,72,83008852
Гарри Поттер и Дары смерти: Часть II,2011,130,"['Adventure', 'Family', 'Fantasy']",8.1,902304,12+,85,381011219
Мстители: Эра Альтрона,2015,141,"['Action', 'Adventure', 'Sci-Fi']",7.3,887109,12+,66,459005868
Терминатор,1984,107,"['Action', 'Sci-Fi']",8.1,886960,16+,84,38400000
1+1,2011,112,"['Biography', 'Comedy', 'Drama']",8.5,883145,14+,57,13182281
Марсианин,2015,144,"['Adventure', 'Drama', 'Sci-Fi']",8.0,880669,16+,80,228433663
Большой куш,2000,104,"['Comedy', 'Crime']",8.2,875304,16+,55,30328156
Железный человек 3,2013,130,"['Action', 'Adventure', 'Sci-Fi']",7.1,870620,12+,62,409013994
Тор,2011,115,"['Action', 'Fantasy']",7.0,870413,12+,57,181030624
Первый мститель: Другая война,2014,136,"['Action', 'Adventure', 'Sci-Fi']",7.8,868145,12+,70,259766572
Лицо со шрамом,1983,170,"['Crime', 'Drama']",8.3,867786,18+,65,45598982
Таксист,1976,114,"['Crime', 'Drama']",8.2,866085,18+,94,28262574
Первый мститель,2011,124,"['Action', 'Adventure', 'Sci-Fi']",6.9,866034,12+,66,176654505
Реквием по мечте,2000,102,['Drama'],8.3,862887,18+,71,3635482
Миллионер из трущоб,2008,120,"['Crime', 'Drama', 'Romance']",8.0,859287,14+,84,141319928
Паразиты,2019,132,"['Drama', 'Thriller']",8.5,858077,18+,96,53367844
Пианист,2002,150,"['Biography', 'Drama', 'Music']",8.5,857926,16+,85,32572577
История игрушек 3,2010,103,"['Animation', 'Adventure', 'Comedy']",8.3,856667,0+,92,415004880
A Clockwork Orange,1971,136,"['Crime', 'Sci-Fi']",8.3,849068,18+,77,6207725
Хоббит: Нежданное путешествие,2012,169,"['Adventure', 'Fantasy']",7.8,844867,12+,58,303003568
Гравитация,2013,91,"['Drama', 'Sci-Fi', 'Thriller']",7.7,841416,12+,96,274092705
Отель «Гранд Будапешт»,2014,99,"['Adventure', 'Comedy', 'Crime']",8.1,840502,16+,88,59100318
Человек-паук,2002,121,"['Action', 'Adventure', 'Sci-Fi']",7.4,840451,12+,73,403706375
Железный человек 2,2010,124,"['Action', 'Sci-Fi']",6.9,838265,12+,57,312433331
300 спартанцев,2006,117,"['Action', 'Drama']",7.6,837494,16+,52,210614939
Выживший,2015,156,"['Action', 'Adventure', 'Drama']",8.0,829130,18+,76,183637894
Большой Лебовски,1998,117,"['Comedy', 'Crime']",8.1,828278,18+,71,17498804
Звёздные войны. Эпизод 1: Скрытая угроза,1999,136,"['Action', 'Adventure', 'Fantasy']",6.5,826003,0+,51,474544677
Донни Дарко,2001,113,"['Drama', 'Mystery', 'Sci-Fi']",8.0,820538,18+,88,1480006
12 рaзгневанных мужчин,1957,96,"['Crime', 'Drama']",9.0,814766,16+,97,4360000
Первый мститель: Противостояние,2016,147,"['Action', 'Sci-Fi']",7.8,813420,12+,75,408084349
Звёздные войны. Эпизод 3: Месть Ситхов,2005,140,"['Action', 'Adventure', 'Fantasy']",7.6,813163,12+,68,380262555
Гарри Поттер и философский камень,2001,152,"['Adventure', 'Family', 'Fantasy']",7.6,811124,12+,65,317575550
Мальчишник в Вегасе,2009,100,['Comedy'],7.7,809257,16+,73,277322503
Чёрная Пантера,2018,134,"['Action', 'Adventure', 'Sci-Fi']",7.3,803440,16+,88,700059566
Человек-паук: Нет пути домой,2021,148,"['Action', 'Adventure', 'Fantasy']",8.2,801499,12+,71,804747988
Унесённые призраками,2001,125,"['Animation', 'Adventure', 'Family']",8.6,791956,12+,96,10055859
Гран Торино,2008,116,['Drama'],8.1,790501,16+,72,148095302
Игра в имитацию,2014,114,"['Biography', 'Drama', 'Thriller']",8.0,790089,12+,71,91125683
Чёрный лебедь,2010,108,"['Drama', 'Thriller']",8.0,789947,16+,79,106954678
Логан,2017,137,"['Action', 'Drama', 'Sci-Fi']",8.1,789284,18+,77,226277068
Бегущий по лезвию,1982,117,"['Action', 'Drama', 'Sci-Fi']",8.1,789204,14+,84,32868943
Человек из стали,2013,143,"['Action', 'Adventure', 'Sci-Fi']",7.1,787187,12+,55,291045518
Я легенда,2007,101,"['Action', 'Drama', 'Horror']",7.2,781020,12+,65,256386216
Однажды в... Голливуде,2019,161,"['Comedy', 'Drama']",7.6,780070,18+,83,142502728
Город грехов,2005,124,"['Crime', 'Thriller']",8.0,779724,16+,74,74103820
"Хороший, плохой, злой",1966,161,"['Adventure', 'Western']",8.8,778499,12+,90,6100000
Тор: Рагнарёк,2017,130,"['Action', 'Adventure', 'Comedy']",7.9,778043,16+,74,315058289
Убить Билла 2,2004,137,"['Action', 'Crime', 'Thriller']",8.0,774982,18+,83,66208183
Индиана Джонс и последний крестовый поход,1989,127,"['Action', 'Adventure']",8.2,772901,0+,65,197171806
Город Бога,2002,130,"['Crime', 'Drama']",8.6,772012,16+,79,7563397
Амели,2001,122,"['Comedy', 'Romance']",8.3,770488,12+,69,33225499
Рататуй,2007,111,"['Animation', 'Adventure', 'Comedy']",8.1,768725,0+,96,206445654
Доктор Стрэндж,2016,115,"['Action', 'Adventure', 'Fantasy']",7.5,767364,12+,72,232641920
Суперсемейка,2004,115,"['Animation', 'Action', 'Adventure']",8.0,763453,12+,90,261441092
Как приручить дракона,2010,98,"['Animation', 'Action', 'Adventure']",8.1,762869,6+,75,217581231
Цельнометаллическая оболочка,1987,116,"['Drama', 'War']",8.3,759980,18+,78,46357676
Пленницы,2013,153,"['Crime', 'Drama', 'Mystery']",8.1,748456,16+,70,61002302
Головоломка,2015,95,"['Animation', 'Adventure', 'Comedy']",8.1,738291,6+,94,356461711
Пираты Карибского моря: Сундук мертвеца,2006,151,"['Action', 'Adventure', 'Fantasy']",7.3,737809,12+,53,423315812
Чужой 2,1986,137,"['Action', 'Adventure', 'Sci-Fi']",8.4,733549,16+,84,85160248
Звёздные войны. Эпизод 2: Атака клонов,2002,142,"['Action', 'Adventure', 'Fantasy']",6.6,730633,0+,54,310675583
Достать ножи,2019,130,"['Comedy', 'Crime', 'Drama']",7.9,728936,16+,82,165359751
Люди Икс: Дни минувшего будущего,2014,132,"['Action', 'Adventure', 'Sci-Fi']",7.9,725817,12+,75,233921534
Социальная сеть,2010,120,"['Biography', 'Drama']",7.8,724289,12+,95,96962694
Мой парень - псих,2012,122,"['Comedy', 'Drama', 'Romance']",7.7,722215,16+,81,132092958
Прибытие,2016,116,"['Drama', 'Mystery', 'Sci-Fi']",7.9,720599,16+,81,100546139
Стражи Галактики. Часть 2,2017,136,"['Action', 'Adventure', 'Comedy']",7.6,718384,16+,67,389813101
12 лет рабства,2013,134,"['Biography', 'Drama', 'History']",8.1,716688,16+,96,56671993
Бэтмен против Супермена: На заре справедливости,2016,151,"['Action', 'Adventure', 'Sci-Fi']",6.4,713043,12+,44,330360194
Жизнь прекрасна,1997,116,"['Comedy', 'Drama', 'Romance']",8.6,712214,0+,59,57598247
007: Координаты «Скайфолл»,2012,143,"['Action', 'Adventure', 'Thriller']",7.8,710540,16+,81,304360277
Люди Икс: Первый класс,2011,131,"['Action', 'Sci-Fi']",7.7,705566,12+,65,146408305
Бэтмен,2022,176,"['Action', 'Crime', 'Drama']",7.8,702826,16+,72,369345583
На игле,1996,93,['Drama'],8.1,701880,18+,83,16501785
Шрэк,2001,90,"['Animation', 'Adventure', 'Comedy']",7.9,701075,6+,84,267665011
Малышка на миллион,2004,132,"['Drama', 'Sport']",8.1,700727,16+,86,100492203
Тор 2: Царство тьмы,2013,112,"['Action', 'Adventure', 'Fantasy']",6.8,700717,12+,54,206362140
Грань будущего,2014,113,"['Action', 'Adventure', 'Sci-Fi']",7.9,700364,12+,71,100206256
Отряд самоубийц,2016,123,"['Action', 'Adventure', 'Fantasy']",5.9,700099,16+,40,325100054
Джон Уик,2014,101,"['Action', 'Crime', 'Thriller']",7.4,697820,16+,68,43037835
Район No 9,2009,112,"['Action', 'Sci-Fi', 'Thriller']",7.9,695731,14+,81,115646235
Человек-муравей,2015,117,"['Action', 'Comedy', 'Sci-Fi']",7.3,694541,12+,64,180202163
Фарго,1996,98,"['Crime', 'Thriller']",8.1,693606,16+,86,24611975
Король говорит!,2010,118,"['Biography', 'Drama', 'History']",8.0,692385,14+,88,138797449
Психо,1960,109,"['Horror', 'Mystery', 'Thriller']",8.5,688800,16+,97,32000000
Война миров Z,2013,116,"['Action', 'Adventure', 'Horror']",7.0,688502,12+,63,202359711
Kingsman: Секретная служба,2014,129,"['Action', 'Adventure', 'Comedy']",7.7,687903,18+,60,128261724
2001 год: Космическая одиссея,1968,149,"['Adventure', 'Sci-Fi']",8.3,686659,12+,84,56954992
Голодные игры: И вспыхнет пламя,2013,146,"['Action', 'Adventure', 'Sci-Fi']",7.5,684678,12+,76,424668047
Дюнкерк,2017,106,"['Action', 'Drama', 'History']",7.8,683829,16+,94,188373161
Апокалипсис сегодня,1979,147,"['Drama', 'Mystery', 'War']",8.4,683142,18+,94,83471511
Человек-паук: Возвращение домой,2017,133,"['Action', 'Adventure', 'Sci-Fi']",7.4,682145,16+,73,334201140
Дюна,2021,155,"['Action', 'Adventure', 'Drama']",8.0,682084,12+,74,108327830
Лабиринт Фавна,2006,118,"['Drama', 'Fantasy', 'War']",8.2,681718,14+,98,37634615
Хоббит: Пустошь Смауга,2013,161,['Fantasy'],7.8,679746,12+,66,258366855
Иллюзия обмана,2013,115,"['Crime', 'Mystery', 'Thriller']",7.2,679519,12+,50,117723989
Схватка,1995,170,"['Action', 'Crime', 'Drama']",8.3,678275,16+,76,67436818
Чудо-женщина,2017,141,"['Action', 'Adventure', 'Fantasy']",7.4,675460,16+,76,412563408
Человек-паук 2,2004,127,"['Action', 'Adventure', 'Sci-Fi']",7.4,674342,12+,83,373585825
Новый Человек-паук,2012,136,"['Action', 'Adventure', 'Sci-Fi']",6.9,674005,12+,66,262030663
Казино Рояль,2006,144,"['Action', 'Adventure', 'Thriller']",8.0,671736,12+,80,167445960
Загадочная история Бенджамина Баттона,2008,166,"['Drama', 'Fantasy', 'Romance']",7.8,669192,12+,70,127509326
Пираты Карибского моря: На краю света,2007,169,"['Action', 'Adventure', 'Fantasy']",7.1,667891,12+,50,309420425
Драйв,2011,100,"['Action', 'Drama']",7.8,665926,18+,78,35061555
Изгой-один. Звёздные войны: Истории,2016,133,"['Action', 'Adventure', 'Sci-Fi']",7.8,658856,12+,65,532177324
Американский психопат,2000,102,"['Crime', 'Drama', 'Horror']",7.6,658246,18+,64,15070285
Гарри Поттер и тайная комната,2002,161,"['Adventure', 'Family', 'Fantasy']",7.4,657882,16+,63,261988482
Мир Юрского периода,2015,124,"['Action', 'Adventure', 'Sci-Fi']",6.9,657856,12+,59,652270625
Гарри Поттер и узник Азкабана,2004,142,"['Adventure', 'Family', 'Fantasy']",7.9,656889,16+,82,249358727
Трансформеры,2007,144,"['Action', 'Adventure', 'Sci-Fi']",7.0,653618,12+,61,319246193
День сурка,1993,101,"['Comedy', 'Drama', 'Fantasy']",8.0,651854,12+,72,70906973
Шерлок Холмс,2009,128,"['Action', 'Adventure', 'Mystery']",7.6,648979,12+,57,209028679
Звёздные войны: Последние джедаи,2017,152,"['Action', 'Adventure', 'Fantasy']",6.9,648721,16+,84,620181382
Гарри Поттер и кубок огня,2005,157,"['Adventure', 'Family', 'Fantasy']",7.7,648159,12+,81,290013036
Бёрдмэн,2014,119,"['Comedy', 'Drama']",7.7,646233,16+,87,42340598
Жизнь Пи,2012,127,"['Adventure', 'Drama', 'Fantasy']",7.9,646143,6+,79,124987023
Ультиматум Борна,2007,115,"['Action', 'Mystery', 'Thriller']",8.0,644645,16+,85,227471070
Прочь,2017,104,"['Horror', 'Mystery', 'Thriller']",7.8,642237,18+,85,176040665
Холодное сердце,2013,102,"['Animation', 'Adventure', 'Comedy']",7.4,640431,6+,75,400738009
Она,2013,126,"['Drama', 'Romance', 'Sci-Fi']",8.0,637348,16+,91,25568251
В диких условиях,2007,148,"['Adventure', 'Biography', 'Drama']",8.1,635933,16+,73,18354356
Третий лишний,2012,106,['Comedy'],6.9,631277,18+,62,218815487
12 обезьян,1995,129,"['Mystery', 'Sci-Fi', 'Thriller']",8.0,630059,R,74,57141459
Люди Икс,2000,104,"['Action', 'Adventure', 'Sci-Fi']",7.3,628154,12+,64,157299717
Операция «Арго»,2012,120,"['Biography', 'Drama', 'Thriller']",7.7,625458,16+,86,136025503
Челюсти,1975,124,"['Adventure', 'Mystery', 'Thriller']",8.1,625401,16+,87,260000000
Омерзительная восьмерка,2015,168,"['Crime', 'Drama', 'Mystery']",7.8,624691,18+,68,54117416
1917,2019,119,"['Action', 'Drama', 'War']",8.2,623004,16+,78,159227644
Прометей,2012,124,"['Adventure', 'Mystery', 'Sci-Fi']",7.0,622531,16+,64,126477084
Ла-Ла Ленд,2016,128,"['Comedy', 'Drama', 'Music']",8.0,616937,16+,94,151101803
Заложница,2008,90,"['Action', 'Crime', 'Thriller']",7.8,615429,16+,51,145000989
Звёздный путь,2009,127,"['Action', 'Adventure', 'Sci-Fi']",7.9,610717,12+,82,257730019
Изгой,2000,143,"['Adventure', 'Drama', 'Romance']",7.8,610323,12+,73,233632142
Матрица: Перезагрузка,2003,138,"['Action', 'Sci-Fi']",7.2,609460,16+,62,281492479
Человек-паук 3: Враг в отражении,2007,139,"['Action', 'Adventure', 'Sci-Fi']",6.3,609352,12+,59,336530303
Дэдпул 2,2018,119,"['Action', 'Adventure', 'Comedy']",7.6,606774,18+,66,324591735
Бегущий по лезвию 2049,2017,164,"['Action', 'Drama', 'Mystery']",8.0,605763,18+,81,92054159
Один дома,1990,103,"['Comedy', 'Family']",7.7,605176,12+,63,285761243
Нефть,2007,158,['Drama'],8.2,603290,16+,93,40222514
Гарри Поттер и орден Феникса,2007,138,"['Action', 'Adventure', 'Family']",7.5,602328,12+,71,292004738
SuperПерцы,2007,113,['Comedy'],7.6,601123,18+,76,121463226
Рокки,1976,120,"['Drama', 'Sport']",8.1,599568,16+,70,117235247
Олдбой,2003,120,"['Action', 'Drama', 'Mystery']",8.4,597519,18+,77,707481
История игрушек 2,1999,92,"['Animation', 'Adventure', 'Comedy']",7.9,596642,6+,88,245852179
Добро пожаловать в Zомбилэнд,2009,88,"['Action', 'Comedy', 'Horror']",7.6,596249,16+,73,75590286
"Карты, деньги, два ствола",1998,107,"['Action', 'Comedy', 'Crime']",8.1,595967,18+,66,3897569
Топ Ган: Мэверик,2022,130,"['Action', 'Drama']",8.3,595190,16+,78,718732821
Секреты Лос-Анджелеса,1997,138,"['Crime', 'Drama', 'Mystery']",8.2,593821,16+,91,64616940
Одиннадцать друзей Оушена,2001,116,"['Crime', 'Thriller']",7.7,592480,12+,74,183417150
Области тьмы,2011,105,"['Sci-Fi', 'Thriller']",7.4,590059,16+,59,79249455
Дневник памяти,2004,123,"['Drama', 'Romance']",7.8,588975,16+,53,81001787
Петля времени,2012,119,"['Action', 'Drama', 'Sci-Fi']",7.4,587508,18+,84,66486205
День независимости,1996,145,"['Action', 'Adventure', 'Sci-Fi']",7.0,587222,12+,59,306169255
Люди в чёрном,1997,98,"['Action', 'Adventure', 'Comedy']",7.3,585673,0+,71,250690539
Casablanca,1942,102,"['Drama', 'Romance', 'War']",8.5,584376,6+,100,1024560
Человек-паук: Через Вселенные,2018,117,"['Animation', 'Action', 'Adventure']",8.4,583958,6+,87,190241310
Капитан Марвел,2019,123,"['Action', 'Adventure', 'Sci-Fi']",6.8,580671,16+,64,426829839
Пипец,2010,117,"['Action', 'Comedy', 'Crime']",7.6,575802,14+,66,48071303
Мачо и ботан,2012,109,"['Action', 'Comedy', 'Crime']",7.2,575681,16+,69,138447667
Зомби по имени Шон,2004,99,"['Comedy', 'Horror']",7.9,572064,16+,76,13542874
Стрингер,2014,117,"['Crime', 'Drama', 'Thriller']",7.8,570894,18+,76,32381218
Оно,2017,135,['Horror'],7.3,570762,18+,69,327481748
The Kashmir Files,2022,170,['Drama'],8.7,569272,,0,0
Гарри Поттер и Дары смерти: Часть I,2010,146,"['Adventure', 'Family', 'Fantasy']",7.7,568960,12+,65,295983305
Малыш на драйве,2017,113,"['Action', 'Crime', 'Drama']",7.6,568199,18+,86,107825862
Великий Гэтсби,2013,143,"['Drama', 'Romance']",7.2,566536,16+,55,144840419
Особое мнение,2002,145,"['Action', 'Crime', 'Mystery']",7.6,565901,16+,80,132072926
Гарри Поттер и Принц-полукровка,2009,153,"['Action', 'Adventure', 'Family']",7.6,565346,16+,78,301959197
Кровавый алмаз,2006,143,"['Adventure', 'Drama', 'Thriller']",8.0,564656,18+,64,57366262
